"DateTime","Players","Average Players"
"2024-12-25 14:00:00",227884,255209
"2024-12-25 15:00:00",233456,254949
"2024-12-25 16:00:00",242442,254749
"2024-12-25 17:00:00",258129,254609
"2024-12-25 18:00:00",272759,254477
"2024-12-25 19:00:00",289398,254451
"2024-12-25 20:00:00",301865,254675
"2024-12-25 21:00:00",306584,255133
"2024-12-25 22:00:00",306033,255774
"2024-12-25 23:00:00",301071,256629
"2024-12-26 00:00:00",296038,257867
"2024-12-26 01:00:00",310330,259691
"2024-12-26 02:00:00",327574,261619
"2024-12-26 03:00:00",333290,263254
"2024-12-26 04:00:00",332229,264661
"2024-12-26 05:00:00",318432,265800
"2024-12-26 06:00:00",285046,266446
"2024-12-26 07:00:00",244002,266717
"2024-12-26 08:00:00",206235,266700
"2024-12-26 09:00:00",175398,266682
"2024-12-26 10:00:00",159371,266659
"2024-12-26 11:00:00",165730,266637
"2024-12-26 12:00:00",186959,266662
"2024-12-26 13:00:00",213634,266738
"2024-12-26 14:00:00",231601,266846
"2024-12-26 15:00:00",237496,267040
"2024-12-26 16:00:00",243817,267305
"2024-12-26 17:00:00",257331,267578
"2024-12-26 18:00:00",272912,267816
"2024-12-26 19:00:00",293794,268095
"2024-12-26 20:00:00",312071,268459
"2024-12-26 21:00:00",322188,268902
"2024-12-26 22:00:00",322288,269369
"2024-12-26 23:00:00",320858,269916
"2024-12-27 00:00:00",318398,270517
"2024-12-27 01:00:00",333099,271047
"2024-12-27 02:00:00",348737,271552
"2024-12-27 03:00:00",351532,272088
"2024-12-27 04:00:00",349732,272781
"2024-12-27 05:00:00",331249,273411
"2024-12-27 06:00:00",295233,274202
"2024-12-27 07:00:00",252906,275085
"2024-12-27 08:00:00",215623,275983
"2024-12-27 09:00:00",180684,276634
"2024-12-27 10:00:00",161656,277105
"2024-12-27 11:00:00",168981,277474
"2024-12-27 12:00:00",189612,277627
"2024-12-27 13:00:00",215584,277750
"2024-12-27 14:00:00",237639,277964
"2024-12-27 15:00:00",250348,278335
"2024-12-27 16:00:00",259720,278838
"2024-12-27 17:00:00",270366,279283
"2024-12-27 18:00:00",283117,279731
"2024-12-27 19:00:00",301575,280184
"2024-12-27 20:00:00",317564,280622
"2024-12-27 21:00:00",328111,281116
"2024-12-27 22:00:00",328153,281551
"2024-12-27 23:00:00",326324,281970
"2024-12-28 00:00:00",319459,282193
"2024-12-28 01:00:00",334736,282347
"2024-12-28 02:00:00",355471,282515
"2024-12-28 03:00:00",367613,282887
"2024-12-28 04:00:00",368219,283367
"2024-12-28 05:00:00",361860,284147
"2024-12-28 06:00:00",332582,285126
"2024-12-28 07:00:00",290597,286187
"2024-12-28 08:00:00",245242,286866
"2024-12-28 09:00:00",204446,287631
"2024-12-28 10:00:00",178723,288233
"2024-12-28 11:00:00",174946,288521
"2024-12-28 12:00:00",194844,288791
"2024-12-28 13:00:00",220520,289048
"2024-12-28 14:00:00",242345,289294
"2024-12-28 15:00:00",258268,289569
"2024-12-28 16:00:00",268227,289777
"2024-12-28 17:00:00",282772,290133
"2024-12-28 18:00:00",299123,290631
"2024-12-28 19:00:00",319884,291271
"2024-12-28 20:00:00",338581,292143
"2024-12-28 21:00:00",345864,292992
"2024-12-28 22:00:00",345680,293871
"2024-12-28 23:00:00",338823,294618
"2024-12-29 00:00:00",327228,295245
"2024-12-29 01:00:00",336209,295768
"2024-12-29 02:00:00",355468,296318
"2024-12-29 03:00:00",370394,296813
"2024-12-29 04:00:00",371067,297073
"2024-12-29 05:00:00",366510,297251
"2024-12-29 06:00:00",341313,297210
"2024-12-29 07:00:00",288377,296649
"2024-12-29 08:00:00",256434,296513
"2024-12-29 09:00:00",215771,296191
"2024-12-29 10:00:00",187672,295908
"2024-12-29 11:00:00",183962,295770
"2024-12-29 12:00:00",203542,295718
"2024-12-29 13:00:00",228947,295665
"2024-12-29 14:00:00",247694,295518
"2024-12-29 15:00:00",258630,295248
"2024-12-29 16:00:00",271554,295040
"2024-12-29 17:00:00",289173,294871
"2024-12-29 18:00:00",310586,294809
"2024-12-29 19:00:00",341293,294981
"2024-12-29 20:00:00",363636,295137
"2024-12-29 21:00:00",373211,295348
"2024-12-29 22:00:00",372878,295607
"2024-12-29 23:00:00",366208,295916
"2024-12-30 00:00:00",358287,296410
"2024-12-30 01:00:00",371501,297215
"2024-12-30 02:00:00",383155,297909
"2024-12-30 03:00:00",383277,298354
"2024-12-30 04:00:00",375871,298628
"2024-12-30 05:00:00",350736,298411
"2024-12-30 06:00:00",310372,297844
"2024-12-30 07:00:00",262065,297369
"2024-12-30 08:00:00",217678,296498
"2024-12-30 09:00:00",183189,295736
"2024-12-30 10:00:00",164068,295151
"2024-12-30 11:00:00",166187,294632
"2024-12-30 12:00:00",185984,293999
"2024-12-30 13:00:00",210365,293288
"2024-12-30 14:00:00",229498,292551
"2024-12-30 15:00:00",239259,291773
"2024-12-30 16:00:00",249139,290924
"2024-12-30 17:00:00",264761,290032
"2024-12-30 18:00:00",283824,289028
"2024-12-30 19:00:00",306661,287682
"2024-12-30 20:00:00",328041,286178
"2024-12-30 21:00:00",340742,284632
"2024-12-30 22:00:00",342890,283111
"2024-12-30 23:00:00",341697,281724
"2024-12-31 00:00:00",346751,280643
"2024-12-31 01:00:00",365990,279613
"2024-12-31 02:00:00",387863,278592
"2024-12-31 03:00:00",391260,277380
"2024-12-31 04:00:00",388598,276290
"2024-12-31 05:00:00",368092,275383
"2024-12-31 06:00:00",325703,274606
"2024-12-31 07:00:00",273852,274278
"2024-12-31 08:00:00",225639,274417
"2024-12-31 09:00:00",186509,274690
"2024-12-31 10:00:00",160953,274945
"2024-12-31 11:00:00",154712,274957
"2024-12-31 12:00:00",170968,274751
"2024-12-31 13:00:00",192748,274438
"2024-12-31 14:00:00",211234,274120
"2024-12-31 15:00:00",222028,273853
"2024-12-31 16:00:00",232935,273637
"2024-12-31 17:00:00",245175,273349
"2024-12-31 18:00:00",255420,272936
"2024-12-31 19:00:00",268678,272479
"2024-12-31 20:00:00",280466,271994
"2024-12-31 21:00:00",289738,271572
"2024-12-31 22:00:00",290179,271104
"2024-12-31 23:00:00",284284,270478
"2025-01-01 00:00:00",279930,269583
"2025-01-01 01:00:00",277523,268066
"2025-01-01 02:00:00",277133,266064
"2025-01-01 03:00:00",278498,264098
"2025-01-01 04:00:00",278673,262171
"2025-01-01 05:00:00",271460,260470
"2025-01-01 06:00:00",270349,259696
"2025-01-01 07:00:00",262583,259711
"2025-01-01 08:00:00",234845,259868
"2025-01-01 09:00:00",208787,260259
"2025-01-01 10:00:00",183438,260557
"2025-01-01 11:00:00",168349,260656
"2025-01-01 12:00:00",182319,260873
"2025-01-01 13:00:00",205544,261180
"2025-01-01 14:00:00",225917,261549
"2025-01-01 15:00:00",238734,261949
"2025-01-01 16:00:00",252038,262400
"2025-01-01 17:00:00",275436,263127
"2025-01-01 18:00:00",305302,264371
"2025-01-01 19:00:00",340128,266174
"2025-01-01 20:00:00",366425,268315
"2025-01-01 21:00:00",377245,270491
"2025-01-01 22:00:00",377505,272698
"2025-01-01 23:00:00",373665,275006
"2025-01-02 00:00:00",372502,277466
"2025-01-02 01:00:00",386544,280597
